__timestamp,Total Wallet
2021-07-16,1876.0
2021-07-17,341.0
2021-07-18,90.0
2021-07-19,35.0
2021-07-20,63.0
2021-07-21,43.0
2021-07-22,26.0
2021-07-23,30.0
2021-07-24,23.0
2021-07-25,19.0
2021-07-26,29.0
2021-07-27,17.0
2021-07-28,21.0
2021-07-29,10.0
2021-07-30,11.0
2021-07-31,19.0
2021-08-01,23.0
2021-08-02,44.0
2021-08-03,36.0
2021-08-04,105.0
2021-08-05,83.0
2021-08-06,68.0
2021-08-07,57.0
2021-08-08,49.0
2021-08-09,29.0
2021-08-10,28.0
2021-08-11,33.0
2021-08-12,53.0
2021-08-13,53.0
2021-08-14,54.0
2021-08-15,41.0
2021-08-16,50.0
2021-08-17,44.0
2021-08-18,48.0
2021-08-19,57.0
2021-08-20,917.0
2021-08-21,364.0
2021-08-22,112.0
2021-08-23,95.0
2021-08-24,75.0
2021-08-25,92.0
2021-08-26,120.0
2021-08-27,88.0
2021-08-28,75.0
2021-08-29,80.0
2021-08-30,82.0
2021-08-31,74.0
2021-09-01,51.0
2021-09-02,39.0
2021-09-03,37.0
2021-09-04,26.0
2021-09-05,26.0
2021-09-06,32.0
2021-09-07,26.0
2021-09-08,34.0
2021-09-09,41.0
2021-09-10,21.0
2021-09-11,20.0
2021-09-12,18.0
2021-09-13,15.0
2021-09-14,17.0
2021-09-15,27.0
2021-09-16,18.0
2021-09-17,11.0
2021-09-18,18.0
2021-09-19,21.0
2021-09-20,19.0
2021-09-21,33.0
2021-09-22,23.0
2021-09-23,19.0
2021-09-24,9.0
2021-09-25,14.0
2021-09-26,13.0
2021-09-27,13.0
2021-09-28,21.0
2021-09-29,14.0
2021-09-30,12.0
2021-10-01,21.0
2021-10-02,15.0
2021-10-03,12.0
2021-10-04,15.0
2021-10-05,20.0
2021-10-06,15.0
2021-10-07,15.0
2021-10-08,17.0
2021-10-09,16.0
2021-10-10,7.0
2021-10-11,9.0
2021-10-12,11.0
2021-10-13,8.0
2021-10-14,4.0
2021-10-15,14.0
2021-10-16,12.0
2021-10-17,13.0
2021-10-18,11.0
2021-10-19,18.0
2021-10-20,18.0
2021-10-21,13.0
2021-10-22,9.0
2021-10-23,5.0
2021-10-24,8.0
2021-10-25,10.0
2021-10-26,14.0
2021-10-27,10.0
2021-10-28,9.0
2021-10-29,8.0
2021-10-30,10.0
2021-10-31,8.0
2021-11-01,11.0
2021-11-02,5.0
2021-11-03,5.0
2021-11-04,13.0
2021-11-05,16.0
2021-11-06,8.0
2021-11-07,11.0
2021-11-08,9.0
2021-11-09,4.0
2021-11-10,14.0
2021-11-11,6.0
2021-11-12,10.0
2021-11-13,5.0
2021-11-14,12.0
2021-11-15,11.0
2021-11-16,11.0
2021-11-17,7.0
2021-11-18,17.0
2021-11-19,7.0
2021-11-20,16.0
2021-11-21,10.0
2021-11-22,12.0
2021-11-23,9.0
2021-11-24,14.0
2021-11-25,18.0
2021-11-26,8.0
2021-11-27,14.0
2021-11-28,13.0
2021-11-29,16.0
2021-11-30,19.0
2021-12-01,11.0
2021-12-02,7.0
2021-12-03,7.0
2021-12-04,6.0
2021-12-05,2.0
2021-12-06,9.0
2021-12-07,14.0
2021-12-08,10.0
2021-12-09,13.0
2021-12-10,9.0
2021-12-11,12.0
2021-12-12,10.0
2021-12-13,18.0
2021-12-14,5.0
2021-12-15,11.0
2021-12-16,7.0
2021-12-17,6.0
2021-12-18,17.0
2021-12-19,15.0
2021-12-20,9.0
2021-12-21,8.0
2021-12-22,9.0
2021-12-23,12.0
2021-12-24,9.0
2021-12-25,14.0
2021-12-26,5.0
2021-12-27,13.0
2021-12-28,21.0
2021-12-29,12.0
2021-12-30,9.0
2021-12-31,9.0
2022-01-01,7.0
2022-01-02,13.0
2022-01-03,12.0
2022-01-04,7.0
2022-01-05,7.0
2022-01-06,8.0
2022-01-07,3.0
2022-01-08,20.0
2022-01-09,15.0
2022-01-10,14.0
2022-01-11,9.0
2022-01-12,13.0
2022-01-13,12.0
2022-01-14,13.0
2022-01-15,13.0
2022-01-16,15.0
2022-01-17,15.0
2022-01-18,7.0
2022-01-19,8.0
2022-01-20,7.0
2022-01-21,24.0
2022-01-22,16.0
2022-01-23,19.0
2022-01-24,11.0
2022-01-25,15.0
2022-01-26,12.0
